Abreviación;Abrev. Guest;Descripción;Resultado;Rótulo;Muestra;Del Host;Al Guest;Al Host;Método;Unidades;Val. Ref. 1;Val. Ref. 2;Val. Ref. 3;Val. Ref. 4;Val. Ref. 5
HPR;773;17-HIDROXI PROGESTERONA;17-HIDROXIPROGESTERONA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml.;Hombre adulto 0.5 a 2.1 ng/ml  Mujeres.fase folicular: 0.1 a 0.8 ng/ml  Mujeres fase lútea: 0.6 a 2.3 ng/ml  Mujeres postmenopausia: 0.1 a 0.6 ng/ml  1-3 meses hasta 13.7 ng/ml  Prepúberes hasta 1.7 ng/ml;;;;
;HPG;;17-HIDROXIPROGESTERONA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml.;Hombre adulto 0.5 a 2.1 ng/ml  Mujeres.fase folicular: 0.1 a 0.8 ng/ml  Mujeres fase lútea: 0.6 a 2.3 ng/ml  Mujeres postmenopausia: 0.1 a 0.6 ng/ml  1-3 meses hasta 13.7 ng/ml  Prepúberes hasta 1.7 ng/ml;;;;
NU5;NUC;5-NUCLEOTIDASA;"5"" NUCLEOTIDASA";SUERO;0;No;Si;Si;Cinético UV;U/L;Hasta 10.0 U/L;;;;
;702;;"5"" NUCLEOTIDASA";SUERO;0;Si;Si;Si;Cinético UV;U/L;Hasta 10.0 U/L;;;;
ACTH;6;ACTH CORTICOTROFINA;ACTH - CORTICOTROFINA;P/E.D.T.A;0;Si;Si;Si;Quimioluminiscencia;pg/ml.;de 0 a 46;;;;
;ACT;;ACTH - CORTICOTROFINA;P/E.D.T.A;0;No;Si;Si;Quimioluminiscencia;pg/ml.;de 0 a 46;;;;
ALD;18;ALDOLASA;ALDOLASA;SUERO;0;Si;Si;Si;Espectrofotometría;U/L;Hasta 7,60;;;;
;ALS;;ALDOLASA;SUERO;0;No;Si;Si;Espectrofotometría;U/L;Hasta 7,60;;;;
ALR;19;ALDOSTERONA PLASMATICA;ALDOSTERONA SERICA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/dl;- Adulto de pie: de 2.5 a 39.2;- Adulto acostado: de 1.8 a 23.2;;;
;ALD;;ALDOSTERONA SERICA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/dl;- Adulto de pie: de 2.5 a 39.2;- Adulto acostado: de 1.8 a 23.2;;;
A1AT;57;ALFA 1 ANTITRIPSINA;alfa 1 antitrip.suero(nro.ent);SUERO;0;Si;Si;Si;Inmunoturbidimétrico;g/l;0.9 a 2.0;;;;
;A1AT;;alfa 1 antitrip.suero(nro.ent);SUERO;0;No;Si;Si;Inmunoturbidimétrico;g/l;0.9 a 2.0;;;;
AFP;20;ALFA FETO PROTEINA;ALFA FETO PROTEINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml.;Como marcador oncológico: Hasta 8,0 ng/ml  Mediana según semana de embarazo :  Semana 14: 29,1 ng/ml  Semana 15: 31,3 ng/ml  Semana 16: 36,3 ng/ml  Semana 17: 42,0 ng/ml  Semana 18: 48,7 ng/ml  Semana 19: 56,5 ng/ml;;;;
;AFP;;ALFA FETO PROTEINA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml.;Como marcador oncológico: Hasta 8,0 ng/ml  Mediana según semana de embarazo :  Semana 14: 29,1 ng/ml  Semana 15: 31,3 ng/ml  Semana 16: 36,3 ng/ml  Semana 17: 42,0 ng/ml  Semana 18: 48,7 ng/ml  Semana 19: 56,5 ng/ml;;;;
NH4;884;AMONEMIA;AMONIACO EN SANGRE - AMONEMIA;P/E.D.T.A;0;Si;Si;Si;Ultravioleta;ug / 100 ml;RN prematuros: 31 a 211 ug/dl  RN a término: 45 a 109 ug/dl  Niños (1-6 meses): 22 a 94 ug/dl  Adulto: Mujeres 27.2-102 ug/dl              Hombres 18.7-86.9;;;;
;AMS;;AMONIACO EN SANGRE - AMONEMIA;P/E.D.T.A;0;No;Si;Si;Ultravioleta;ug / 100 ml;RN prematuros: 31 a 211 ug/dl  RN a término: 45 a 109 ug/dl  Niños (1-6 meses): 22 a 94 ug/dl  Adulto: Mujeres 27.2-102 ug/dl              Hombres 18.7-86.9;;;;
ALFA-D;988;ANDROSTENEDIOL GLUCURONIDO (ALFA DIOL GLUCURONIDO);ANDROSTENEDIOL GLUCURONIDO (3-ALFA DIOL GLUCURONID;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;ng/ml;Mujer adulta 0.22 a 4.64 ng/ml  Hombre adulto 1.53 a 14.82;;;;
;3DIOL;;ANDROSTENEDIOL GLUCURONIDO (3-ALFA DIOL GLUCURONID;SUERO;0;No;Si;Si;Enzimoinmunoensayo;ng/ml;Mujer adulta 0.22 a 4.64 ng/ml  Hombre adulto 1.53 a 14.82;;;;
AN4;989;ANDROSTENODIONA (delta 4);DELTA 4 ANDROSTENODIONA;SUERO;0;Si;Si;Si;QUIMIOLUMINISCENCIA;ng/ml.;Hombre adulto: 0.6 a 3.1 ng/ml  Mujer adulta: 0.3 a 3.3 ng/ml  Postmenopausia: 0.3 a 1.0 ng/ml  Prepúberes: 0.3 a 1.0 ng/ml;;;;
;D4A;;DELTA 4 ANDROSTENODIONA;SUERO;0;No;Si;Si;QUIMIOLUMINISCENCIA;ng/ml.;Hombre adulto: 0.6 a 3.1 ng/ml  Mujer adulta: 0.3 a 3.3 ng/ml  Postmenopausia: 0.3 a 1.0 ng/ml  Prepúberes: 0.3 a 1.0 ng/ml;;;;
ADN ds;48;ANTIC.ANTI ADN ds (DOBLE CADENA);AC. ANTI-ADN ds (DOBLE CADENA);SUERO;0;Si;Si;Si;Quimioluminiscencia;Ul/ml;Negativo : menor de 25 UI/ml  Indeterminado : 25 a 35 UI/ml  Positivo : mayor de 35;;;;
;DNA;;AC. ANTI-ADN ds (DOBLE CADENA);SUERO;0;No;Si;Si;Quimioluminiscencia;Ul/ml;Negativo : menor de 25 UI/ml  Indeterminado : 25 a 35 UI/ml  Positivo : mayor de 35;;;;
B2G G;14;ANTIC.ANTI BETA 2 GLICOPROTEINA IGG;Beta 2 Glicoproteina IgG;SUERO;0;Si;Si;Si;Quimioluminiscencia;UA/ml.;Negativo : < 16,00;Indeterminado: de 16,00 a 24,00;Positivo : > 24,00;;
;B2G1-G;;Beta 2 Glicoproteina IgG;SUERO;0;No;Si;Si;Quimioluminiscencia;UA/ml.;Negativo : < 16,00;Indeterminado: de 16,00 a 24,00;Positivo : > 24,00;;
B2G M;109;ANTIC.ANTI BETA 2 GLICOPROTEINA IgM;Beta 2 Glicoproteina IgM;SUERO;0;Si;Si;Si;Elisa con IgM;U/ml;Interpretación:  Negativo: < 16 UA/ml  Indeterminado: 16 a 24 UA/ml  Positivo: > 16;;;;
;B2G1-M;;Beta 2 Glicoproteina IgM;SUERO;0;No;Si;Si;Elisa con IgM;U/ml;Interpretación:  Negativo: < 16 UA/ml  Indeterminado: 16 a 24 UA/ml  Positivo: > 16;;;;
CAR;847;ANTIC.ANTI CARDIOLIPINAS IgG;ANTIC. ANTI CARDIOLIPINA IgG;SUERO;0;Si;Si;Si;Quimioluminiscencia;GPLU/ml;Negativo: menor a 8 GPLU/ml  Indeterminado: 8 a 12 GPLU/ml  Positivo: mayor o igual a 12;;;;
;CDG;;ANTIC. ANTI CARDIOLIPINA IgG;SUERO;0;No;Si;Si;Quimioluminiscencia;GPLU/ml;Negativo: menor a 8 GPLU/ml  Indeterminado: 8 a 12 GPLU/ml  Positivo: mayor o igual a 12;;;;
CAM;848;ANTIC.ANTI CARDIOLIPINAS IgM;ANTIC. ANTI CARDIOLIPINA IgM;SUERO;0;Si;Si;Si;Quimioluminiscencia;MPLU/ml;Negativo: menor a 8 MPLU/ml  Indeterminado: 8 a 12 MPLU/ml  Positivo: mayor o igual a 12;;;;
;CDM;;ANTIC. ANTI CARDIOLIPINA IgM;SUERO;0;No;Si;Si;Quimioluminiscencia;MPLU/ml;Negativo: menor a 8 MPLU/ml  Indeterminado: 8 a 12 MPLU/ml  Positivo: mayor o igual a 12;;;;
CEN;80;ANTIC.ANTI CENTROMERO;ANTIC. ANTI-CENTROMERO;SUERO;0;Si;Si;Si;Inmunofluorescencia;;Valor de referencia:Negativo  Dilución de corte: 1/80;;;;
;CEN;;ANTIC. ANTI-CENTROMERO;SUERO;0;No;Si;Si;Inmunofluorescencia;;Valor de referencia:Negativo  Dilución de corte: 1/80;;;;
ENA;232;ANTIC.ANTI ENA;ANTIC. ANTI ENA;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;;Negativo;;;;
;ENA;;ANTIC. ANTI ENA;SUERO;0;No;Si;Si;Enzimoinmunoensayo;;Negativo;;;;
END A;113;ANTIC.ANTI ENDOMISIO IgA;ANTIC. ANTI ENDOMISIO (IgA);SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;Negativo;;;;
;EDA;;ANTIC. ANTI ENDOMISIO (IgA);SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;Negativo;;;;
ENG;44;ANTIC.ANTI ENDOMISIO IgG;ANTIC. ANTI ENDOMISIO (IgG);SUERO;0;Si;Si;Si;Inmunofluorescencia Indirecta;;Negativo;;;;
;EDG;;ANTIC. ANTI ENDOMISIO (IgG);SUERO;0;No;Si;Si;Inmunofluorescencia Indirecta;;Negativo;;;;
AAFOL G;845;ANTIC.ANTI FOSFOLIPIDOS IgG;ANTIC. ANTI  FOSFOLIPIDOS (IgG);SUERO;0;Si;Si;Si;Enzimoinmunoensayo;GPL;Negativo: menor o igual a 10 GPL  Positivo : mayor a 10;;;;
;FLG;;ANTIC. ANTI  FOSFOLIPIDOS (IgG);SUERO;0;No;Si;Si;Enzimoinmunoensayo;GPL;Negativo: menor o igual a 10 GPL  Positivo : mayor a 10;;;;
GAA;39;ANTIC.ANTI GLIADINA IgA;ANTIC. ANTI GLIADINA (IgA);SUERO;0;Si;Si;Si;Enzimoinmunoensayo;IU/ml;Negativo < 12 IU/ml;;;;
;GAA;;ANTIC. ANTI GLIADINA (IgA);SUERO;0;No;Si;Si;Enzimoinmunoensayo;IU/ml;Negativo < 12 IU/ml;;;;
GAG;38;ANTIC.ANTI GLIADINA IgG;ANTIC. ANTI GLIADINA (IgG);SUERO;0;Si;Si;Si;Enzimoinmunoensayo;IU/ml;Negativo < 12;;;;
;GDG;;ANTIC. ANTI GLIADINA (IgG);SUERO;0;No;Si;Si;Enzimoinmunoensayo;IU/ml;Negativo < 12;;;;
AJO;235;ANTIC.ANTI JO1;ANTICUERPOS ANTI - JO 1;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: <15 U/ml  Indeterminado: 15-25 U/ml   Positivo: >25;;;;
;JO-1;;ANTICUERPOS ANTI - JO 1;SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: <15 U/ml  Indeterminado: 15-25 U/ml   Positivo: >25;;;;
LKM;30;ANTIC.ANTI LKM;ANTIC. ANTI LKM;SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta;;Negativo  Dilución de corte: 1/40;;;;
;LKM;;ANTIC. ANTI LKM;SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;Negativo  Dilución de corte: 1/40;;;;
ANC P E;960;ANTIC.ANTI MIELOPEROXIDASA;ANTIC. ANTI-MIELOPEROXIDASA;;;Si;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: menor de 5 U/ml  Positivo: mayor o igual a 5;;;;
;MPO;;ANTIC. ANTI-MIELOPEROXIDASA;;;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: menor de 5 U/ml  Positivo: mayor o igual a 5;;;;
MII M2;55;ANTIC.ANTI MITOCONDRIAL AMA;ANTICUERPO ANTI-MITOCONDRIAL M2;SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta;;Negativo   Dilución de corte 1/20;;;;
;MIT;;ANTICUERPO ANTI-MITOCONDRIAL M2;SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;Negativo   Dilución de corte 1/20;;;;
MLI;42;ANTIC.ANTI MUSCULO LISO I.F;ANTICUERPO ANTI-MUSCULO LISO;SUERO;0;Si;Si;Si;I. F. en hígado y riñón de rata;;Negativo - Dilución de corte 1/40;;;;
;MUL;;ANTICUERPO ANTI-MUSCULO LISO;SUERO;0;No;Si;Si;I. F. en hígado y riñón de rata;;Negativo - Dilución de corte 1/40;;;;
FAN;56;ANTIC.ANTI NUCLEARES IFI;ANTIC. ANTI NUCLEO - FAN -;SUERO;0;Si;Si;Si;Inmunofluorescencia sobre Hep2;;Negativo  Dilución de corte: 1/80;;;;
;FAN;;ANTIC. ANTI NUCLEO - FAN -;SUERO;0;No;Si;Si;Inmunofluorescencia sobre Hep2;;Negativo  Dilución de corte: 1/80;;;;
;FAN;;TITULO;SUERO;0;No;Si;Si;;;;;;;
;FAN;;patrón;SUERO;0;No;Si;Si;;;;;;;
TRAB;TRAB;ANTIC.ANTI RECEPTOR DE TSH estimulador;ANTICUERPOS ANTI-RECEPTOR DE TSH;SUERO;0;No;Si;Si;Quimioluminiscencia;Ul/l;Hasta 1,75;;;;
;237;;ANTICUERPOS ANTI-RECEPTOR DE TSH;SUERO;0;Si;Si;Si;Quimioluminiscencia;Ul/l;Hasta 1,75;;;;
RNP;224;ANTIC.ANTI RNP;ANTI RNP;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 15 U/ml   Indeterminado: 15 - 25 U/ml   Positivo: > 25;;;;
;RNP;;ANTI RNP;SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 15 U/ml   Indeterminado: 15 - 25 U/ml   Positivo: > 25;;;;
S70;229;ANTIC.ANTI Scl-70;ANTICUERPOS ANTI-Scl-70;SUERO;0;Si;Si;Si;Inmunodifusion radial;;;;;;
;SCL;;ANTICUERPOS ANTI-Scl-70;SUERO;0;No;Si;Si;Inmunodifusion radial;;;;;;
ASM;228;ANTIC.ANTI Sm (Smith);ANTICUERPOS ANTI-SM (Smith);SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;VR: Positivo: >25 U/ml  Intermedio: 15-25 U/ml  Negativo: <15;;;;
;SM;;ANTICUERPOS ANTI-SM (Smith);SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;VR: Positivo: >25 U/ml  Intermedio: 15-25 U/ml  Negativo: <15;;;;
ARO;225;ANTIC.ANTI SSA (o ANTI RO);ANTIC. ANTI  SSA (Ro);SUERO;0;Si;Si;Si;Quimioluminiscencia;UA/ml;Positivo: Mayor a 24 UA/ml  Indeterminado: 16 a 24 UA/ml  Negativo: Menor a 16 UA/ml;;;;
;RO;;ANTIC. ANTI  SSA (Ro);SUERO;0;No;Si;Si;Quimioluminiscencia;UA/ml;Positivo: Mayor a 24 UA/ml  Indeterminado: 16 a 24 UA/ml  Negativo: Menor a 16 UA/ml;;;;
Ala;226;ANTIC.ANTI SSB (o ANTI La);ANTIC. ANTI SSB (La);SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;VR: Positivo: >25 U/ml  Intermedio: 15-25 U/ml  Negativo: <15;;;;
;LA;;ANTIC. ANTI SSB (La);SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;VR: Positivo: >25 U/ml  Intermedio: 15-25 U/ml  Negativo: <15;;;;
AATG;782;ANTIC.ANTI TIROGLOBULINA;ANTICUERPO ANTI-TIROGLOBULINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;U/ml;Hasta 4.5;;;;
;ATGS;;ANTICUERPO ANTI-TIROGLOBULINA;SUERO;0;No;Si;Si;Quimioluminiscencia;U/ml;Hasta 4.5;;;;
TPO;123;ANTIC.ANTI TIROPEROXIDASA;Antic.anti-TIROPEROXIDASA;SUERO;0;Si;Si;Si;Quimioluminiscencia;IU/ml;hasta 13.8;;;;
;TPO;;Antic.anti-TIROPEROXIDASA;SUERO;0;No;Si;Si;Quimioluminiscencia;IU/ml;hasta 13.8;;;;
ATG A;520;ANTIC.ANTI TRANSGLUTAMINASA IgA;ANTIC TRANSGLUTAMINASA IGA;SUERO;0;Si;Si;Si;Quimioluminiscencia;Ul/ml;Negativo: Menor de 8 UI/ml  Positivo: Mayor o igual de 8;;;;
;TGA;;ANTIC TRANSGLUTAMINASA IGA;SUERO;0;No;Si;Si;Quimioluminiscencia;Ul/ml;Negativo: Menor de 8 UI/ml  Positivo: Mayor o igual de 8;;;;
ATG G;TGG;ANTIC.ANTI TRANSGLUTAMINASA IgG;ANTIC TRANSGLUTAMINASA TISULAR;SUERO;0;No;Si;Si;Quimioluminiscencia;U /ml;Menor de 20 U/ml: Negativo  Igual o Mayor de 20 U/ml: Positivo;;;;
;TGG;;ANTIC TRANSGLUTAMINASA TISULAR;SUERO;0;Si;Si;Si;Quimioluminiscencia;U /ml;Menor de 20 U/ml: Negativo  Igual o Mayor de 20 U/ml: Positivo;;;;
DGPA;558;ANTICUERPO ANTI PEPTIDO DEAMINADO DE GLIADINA IGA;ANTICUERPOS ANTI GLIADINA PEPTIDO DEAMINADO IGA;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 12 U/ml  Indeterminado: 12-18 U/ml  Positivo: > 18;;;;
;GPD;;ANTICUERPOS ANTI GLIADINA PEPTIDO DEAMINADO IGA;SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 12 U/ml  Indeterminado: 12-18 U/ml  Positivo: > 18;;;;
DGPG;GGP;ANTICUERPO ANTI PEPTIDO DEAMINADO DE GLIADINA IGG;ANTICUERPOS ANTI GLIADINA PEPTIDO DEAMINADO IGG;SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 12 U/ml  Indeterminado: 12-18 U/ml  Positivo: > 18;;;;
;GGP;;ANTICUERPOS ANTI GLIADINA PEPTIDO DEAMINADO IGG;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;Negativo: < 12 U/ml  Indeterminado: 12-18 U/ml  Positivo: > 18;;;;
PSA;PSA;ANTIGENO PROSTATICO ESPECIFICO (PSA);ANTIG.PROSTATICO ESPECIFICO (PSA);SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml.;Hasta 4,00 ng/ml;;;;
;75;;ANTIG.PROSTATICO ESPECIFICO (PSA);SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml.;Hasta 4,00 ng/ml;;;;
PSA-L;640;ANTIGENO PROSTATICO ESPECIFICO (PSA) - Libre;PSA Libre;SUERO;0;Si;Si;Si;;ng/ml;;;;;
;PSAL;;PSA Libre;SUERO;0;No;Si;Si;;ng/ml;;;;;
MULL;HMU;ANTIMULLERIANA HORMONA (HAM);HORMONA ANTIMULLERIANA;SUERO;0;Si;Si;Si;ELISA;ng/ml;Mujeres: 0.20 - 5.00 ng/ml  Menopausia: < 0.14 ng/ml  Varones: 2.00 - 5.00;;;;
;HMU;;HORMONA ANTIMULLERIANA;SUERO;0;No;Si;Si;ELISA;ng/ml;Mujeres: 0.20 - 5.00 ng/ml  Menopausia: < 0.14 ng/ml  Varones: 2.00 - 5.00;;;;
APO;203;"APOLIPOPROTEINA ""A""";"APOLIPOPROTEINA ""A""";SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/dl;Hombres: 104 a 202 mg/dl  Mujeres: 108 a 225;;;;
;APOA1;;"APOLIPOPROTEINA ""A""";SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/dl;Hombres: 104 a 202 mg/dl  Mujeres: 108 a 225;;;;
AP0B;APOB;"APOLIPOPROTEINA ""B""";"APOLIPOPROTEINA ""B""";SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/dl;V.R  Hombres: 66 a 144 mg/dl  Mujeres: 60 a 141 mg/dl  --------------------------------  Metas según la estratificación del riesgo de ECV:  Riesgo Moderado < 100 mg/dL  Riesgo Alto < 80mg/dL  Riesgo Muy Alto <65;;;;
;204;;"APOLIPOPROTEINA ""B""";SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/dl;V.R  Hombres: 66 a 144 mg/dl  Mujeres: 60 a 141 mg/dl  --------------------------------  Metas según la estratificación del riesgo de ECV:  Riesgo Moderado < 100 mg/dL  Riesgo Alto < 80mg/dL  Riesgo Muy Alto <65;;;;
B2M;650;BETA 2 MICROGLOBULINA;BETA 2 MICROGLOBULINA;SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/l;de 0,8 a 2,2;;;;
;B2M;;BETA 2 MICROGLOBULINA;SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/l;de 0,8 a 2,2;;;;
