Abreviación;Abrev. Guest;Descripción;Resultado;Rótulo;Muestra;Del Host;Al Guest;Al Host;Método;Unidades;Val. Ref. 1;Val. Ref. 2;Val. Ref. 3;Val. Ref. 4;Val. Ref. 5
;MYPG;;ANTICUERPOS ANTI MICOPLASMA PNEUMONIAE (IgM);SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo < 9  Indeterminado 9-11  Positivo > 11;;;;
MP M;691;MICOPLASMA PNEUMANIAE,AC IGM;ANTICUERPOS ANTI MICOPLASMA PNEUMONIAE (IgG);SUERO;0;Si;Si;Si;Enzimoinmunoensayo;U/ml;Negativo < 9  Indeterminado 9-11  Positivo > 11;;;;
;691;;ANTICUERPOS ANTI MICOPLASMA PNEUMONIAE (IgG);SUERO;0;No;Si;Si;Enzimoinmunoensayo;U/ml;Negativo < 9  Indeterminado 9-11  Positivo > 11;;;;
OST;689;OSTEOCALCINA;OSTEOCALCINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;Mujer premenopáusica : 11.0 a 43.0 ng/ml  Mujer postmenopáusica : 15.0 a 46.0 ng/ml  Hombre menor de 30 años : 24.0 a 70.0 ng/ml  Hombre mayor de 30 años : 14.0 a 46.0;;;;
;OST;;OSTEOCALCINA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;Mujer premenopáusica : 11.0 a 43.0 ng/ml  Mujer postmenopáusica : 15.0 a 46.0 ng/ml  Hombre menor de 30 años : 24.0 a 70.0 ng/ml  Hombre mayor de 30 años : 14.0 a 46.0;;;;
PAPP;853;PAPP - A;PAPP-A;SUERO;0;Si;Si;Si;Quimioluminiscencia;mUI/ml;;;;;
;PPA;;PAPP-A;SUERO;0;No;Si;Si;Quimioluminiscencia;mUI/ml;;;;;
PTH;PTH;PARATHORMONA;PTH;P/E.D.T.A;0;No;Si;Si;Electroquimioluminiscencia;pg/ml;17.3 - 74.1;;;;
;739;;PTH;P/E.D.T.A;0;Si;Si;Si;Electroquimioluminiscencia;pg/ml;17.3 - 74.1;;;;
PARO G;86;PAROTIDITIS ANTIC.ANTI IgG;Anticuerpos Anti-PAROTIDITIS IGG;SUERO;0;Si;Si;Si;Quimioluminiscencia;UA/ml;Negativo : menor a 9 UA/ml  Indeterminado : 9 a 11 UA/ml  Positivo : mayor o igual a 11 UA/ml;;;;
;PAR-G;;Anticuerpos Anti-PAROTIDITIS IGG;SUERO;0;No;Si;Si;Quimioluminiscencia;UA/ml;Negativo : menor a 9 UA/ml  Indeterminado : 9 a 11 UA/ml  Positivo : mayor o igual a 11 UA/ml;;;;
PARVO G;769;PARVOVIRUS ANTIC.ANTI IgG;Anticuerpos PARVOVIRUS HUMANO B 19;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Negativo : < 0,9  Indeterminado : 0,9 - 1,0  Positivo : > 1,0;;;;
;PVG;;Anticuerpos PARVOVIRUS HUMANO B 19;SUERO;0;No;Si;Si;Quimioluminiscencia;;Negativo : < 0,9  Indeterminado : 0,9 - 1,0  Positivo : > 1,0;;;;
PARVO M;770;PARVOVIRUS ANTIC.ANTI IgM;Anticuerpos PARVOVIRUS HUMANO B 19;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Negativo : < 0,9  Indeterminado : 0,9 - 1,0  Positivo : > 1,0;;;;
;PVM;;Anticuerpos PARVOVIRUS HUMANO B 19;SUERO;0;No;Si;Si;Quimioluminiscencia;;Negativo : < 0,9  Indeterminado : 0,9 - 1,0  Positivo : > 1,0;;;;
PCRU;PCU;PCR ULTRASENSIBLE;PCR ULTRASENSIBLE;SUERO;0;Si;Si;Si;Turbidimético;mg/l;Hasta 5.0;;;;
;PCU;;PCR ULTRASENSIBLE;SUERO;0;No;Si;Si;Turbidimético;mg/l;Hasta 5.0;;;;
CCP G;950;PEPTIDO CITRULINADO CICLICO AC IGG ANTI (CCP-IGG);AC. ANTI PEPTIDOS CITRULINADOS (ANTI-CCP);SUERO;0;Si;Si;Si;Quimioluminiscencia;U/ml;Negativo: Menor a 5 U/ml  Positivo: Mayor o igual a 5;;;;
;CCP;;AC. ANTI PEPTIDOS CITRULINADOS (ANTI-CCP);SUERO;0;No;Si;Si;Quimioluminiscencia;U/ml;Negativo: Menor a 5 U/ml  Positivo: Mayor o igual a 5;;;;
PBNP;PBN;Pro BNP - PEPTIDO NATRIURETICO , HORMONA;PRO PEPTIDO NATRIURETICO CEREBRAL N TERMINAL (NT-p;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml;Insuficiencia cardíaca poco probable.   Todas las edades: < 300 pg/ml  Insuficiencia cardíaca probable   22 a 50 años: 450 pg/ml   50-75 años: 900 pg/ml   Mayor de 75 años: 1800 pg/ml;;;;
;PBNP;;PRO PEPTIDO NATRIURETICO CEREBRAL N TERMINAL (NT-p;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml;Insuficiencia cardíaca poco probable.   Todas las edades: < 300 pg/ml  Insuficiencia cardíaca probable   22 a 50 años: 450 pg/ml   50-75 años: 900 pg/ml   Mayor de 75 años: 1800 pg/ml;;;;
PG;758;PROGESTERONA PLASMATICA;PROGESTERONA PLASMATICA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;Fase folicular: 0,2 a  1,40;Fase luteínica: 3,4 a 25,6;Post menopáusica:  0 - 0.73;Hombre adulto: 0.28 a 1.22;
;PRG;;PROGESTERONA PLASMATICA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;Fase folicular: 0,2 a  1,40;Fase luteínica: 3,4 a 25,6;Post menopáusica:  0 - 0.73;Hombre adulto: 0.28 a 1.22;
PL;PRL;PROLACTINA;PROLACTINA PLASMATICA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;Hombre: 2,1 a 17,7 ng/ml  Mujer: 2,8 a 29,2 ng/ml;;;;
;759;;PROLACTINA PLASMATICA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;Hombre: 2,1 a 17,7 ng/ml  Mujer: 2,8 a 29,2 ng/ml;;;;
PTG;ALBU;PROTEINOGRAMA;Albumina;SUERO;0;No;Si;Si;;;;;;;
;764;;Proteinas totales;SUERO;0;Si;Si;Si;;g/dl;;;;;
;PTT;;Proteinas totales;SUERO;0;No;Si;Si;;g/dl;;;;;
CHE;772;PSEUDOCOLINESTERASA;PSEUDOCOLINESTERASA;SUERO;0;Si;Si;Si;Colorimétrico;U/l;Niños, hombres y mujeres mayores de 40 años: 5320 a 12920 U/l  Mujeres 16 a 39 años no emb, no ACO: 4260 a 11250 U/l  Mujeres 18 a 41 años, embarazadas o ACO: 3650 a 9120;;;;
;PSE;;PSEUDOCOLINESTERASA;SUERO;0;No;Si;Si;Colorimétrico;U/l;Niños, hombres y mujeres mayores de 40 años: 5320 a 12920 U/l  Mujeres 16 a 39 años no emb, no ACO: 4260 a 11250 U/l  Mujeres 18 a 41 años, embarazadas o ACO: 3650 a 9120;;;;
RUG;990;RUBEOLA ANTIC.ANTI IgG (EIA);AC. ANTI-RUBEOLA con IgG;SUERO;0;Si;Si;Si;Quimioluminiscencia;UI/ml;Negativo: menor a 5,0 UI/ml  Indeterminado: de 5 a 9,9 UI/ml  Positivo: Igual o mayor a 10,0;;;;
;RUG;;AC. ANTI-RUBEOLA con IgG;SUERO;0;No;Si;Si;Quimioluminiscencia;UI/ml;Negativo: menor a 5,0 UI/ml  Indeterminado: de 5 a 9,9 UI/ml  Positivo: Igual o mayor a 10,0;;;;
RUM;996;RUBEOLA ANTIC.ANTI IgM (EIA);AC.ANTI-RUBEOLA con IgM;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Negativo: menor a 0.75  Indeterminado: 0.75 a 0.99  Positivo: mayor a 1.0  Evaluar siempre en el contexto clínico del paciente;;;;
;RUM;;AC.ANTI-RUBEOLA con IgM;SUERO;0;No;Si;Si;Quimioluminiscencia;;Negativo: menor a 0.75  Indeterminado: 0.75 a 0.99  Positivo: mayor a 1.0  Evaluar siempre en el contexto clínico del paciente;;;;
ASA;ASCA;SACCHAROMYSES , Ac Anti IGG (ASCA);ANTIC. ANTI SACCHAROMYSES IgG (ASCA);SUERO;0;No;Si;Si;Enzimoinmunoensayo;Unidades;Negativo: < 10.0 Unidades  Positivo: > o = 10.0;;;;
;955;;ANTIC. ANTI SACCHAROMYSES IgG (ASCA);SUERO;0;Si;Si;Si;Enzimoinmunoensayo;Unidades;Negativo: < 10.0 Unidades  Positivo: > o = 10.0;;;;
SARA G;SAR-G;SARAMPION ANTIC.ANTI  IgG (IFI/EIA);SARAMPION Ac.ANTI-IgG   (MEASLES);SUERO;0;No;Si;Si;Quimioluminiscencia;UA/ml;Negativo: Hasta 13.5 UA/ml  Indeterminado: 13.5 - 16.5 UA/ml   Positivo:Mayor o igual de 16.5;;;;
;831;;SARAMPION Ac.ANTI-IgG   (MEASLES);SUERO;0;Si;Si;Si;Quimioluminiscencia;UA/ml;Negativo: Hasta 13.5 UA/ml  Indeterminado: 13.5 - 16.5 UA/ml   Positivo:Mayor o igual de 16.5;;;;
SEL;252;SELENIO;SELENIO - Se;SUERO;0;Si;Si;Si;Absorción Atómica;ng/ml;Según Mayo Clinic Laboratories. SES, (2020)    0 a 2 meses: 45 - 90 ng/ml  3 a 6 meses: 50 - 120 ng/ml  7 a 9 meses: 60 - 120 ng/ml  10 a 12 meses: 70 - 130 ng/ml  Mayor de 1 año: 70 - 150     Límite de cuantificación: 0.5;;;;
;252;;SELENIO - Se;SUERO;0;No;Si;Si;Absorción Atómica;ng/ml;Según Mayo Clinic Laboratories. SES, (2020)    0 a 2 meses: 45 - 90 ng/ml  3 a 6 meses: 50 - 120 ng/ml  7 a 9 meses: 60 - 120 ng/ml  10 a 12 meses: 70 - 130 ng/ml  Mayor de 1 año: 70 - 150     Límite de cuantificación: 0.5;;;;
SER;835;SEROTONINA;SEROTONINA (STN) plasmatica;P/E.D.T.A;0;Si;Si;Si;HPLC;ng/ml;Hasta 230 ng/ml  Límite de cuantificación 5;;;;
;STP;;SEROTONINA (STN) plasmatica;P/E.D.T.A;0;No;Si;Si;HPLC;ng/ml;Hasta 230 ng/ml  Límite de cuantificación 5;;;;
HGH;840;SOMATOTROFINA;SOMATOTROFINA (HGH) basal;SUERO;0;Si;Si;Si;Quimioluniscencia;ng/ml;Hombres hasta 3.0 ng/ml  Mujeres hasta 8.0 ng/ml  Niños menores de 1 año: hasta 15.0 ng/ml  Niños mayores de 1 año: hasta 10.0;;;;
;GH;;SOMATOTROFINA (HGH) basal;SUERO;0;No;Si;Si;Quimioluniscencia;ng/ml;Hombres hasta 3.0 ng/ml  Mujeres hasta 8.0 ng/ml  Niños menores de 1 año: hasta 15.0 ng/ml  Niños mayores de 1 año: hasta 10.0;;;;
BHCG;288;SUB UNIDAD BETA DE GONAD.CORION. CUANTITATIVA;G.C.H. SUB-UNIDAD BETA;SUERO;0;Si;Si;Si;Quimioluminiscencia;mUI/ml;;;;;
;BHC;;G.C.H. SUB-UNIDAD BETA;SUERO;0;No;Si;Si;Quimioluminiscencia;mUI/ml;;;;;
T3;878;T3 - TRIIODOTIRONINA;T3 - TRIIODOTIRONINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;Adultos: 0.60 a 1.81;Niños de 6 a 10 años: 0.90 a 2.10;Niños de 1 a 11 meses: 1.00 a 2.20;Niños de 1 a 5 años: 0.90 a 2.20;Niños de 11 a 14 años: 0.70 a 1.90
;T3;;T3 - TRIIODOTIRONINA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;Adultos: 0.60 a 1.81;Niños de 6 a 10 años: 0.90 a 2.10;Niños de 1 a 11 meses: 1.00 a 2.20;Niños de 1 a 5 años: 0.90 a 2.20;Niños de 11 a 14 años: 0.70 a 1.90
T3L;877;T3 LIBRE;T3 LIBRE;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml;2.30 a 4.20;;;;
;T3L;;T3 LIBRE;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml;2.30 a 4.20;;;;
T4;866;T4 - TIROXINA TOTAL;T4 - TIROXINA TOTAL;SUERO;0;Si;Si;Si;Quimioluminiscencia;mcg/dl;Adultos: 4.50 a 11.90;Niños de 6 a 10 años: 5.8 a 12.0;Niños de 1 a 11 meses: 6.3 a 13.6;Niños de 1 a 5 años: 6.0 a 13.0;Niños de 11 a 14 años: 5.4 a 12.0
;T4;;T4 - TIROXINA TOTAL;SUERO;0;No;Si;Si;Quimioluminiscencia;mcg/dl;Adultos: 4.50 a 11.90;Niños de 6 a 10 años: 5.8 a 12.0;Niños de 1 a 11 meses: 6.3 a 13.6;Niños de 1 a 5 años: 6.0 a 13.0;Niños de 11 a 14 años: 5.4 a 12.0
T4L;867;T4 LIBRE;TIROXINA LIBRE;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/dl;De 0 a 23 meses 0.94 - 1.44 ng/ml;De 2 a 12 años 0.86 - 1.40 ng/ml;De 13 a 20 años 0.83 - 1.43 ng/ml;Adultos: 0.89 - 1.76;
T4L;867A;T4 LIBRE;TIROXINA LIBRE;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/dl;De 0 a 23 meses 0.94 - 1.44 ng/ml;De 2 a 12 años 0.86 - 1.40 ng/ml;De 13 a 20 años 0.83 - 1.43 ng/ml;Adultos: 0.89 - 1.76;
;T4L;;TIROXINA LIBRE;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/dl;De 0 a 23 meses 0.94 - 1.44 ng/ml;De 2 a 12 años 0.86 - 1.40 ng/ml;De 13 a 20 años 0.83 - 1.43 ng/ml;Adultos: 0.89 - 1.76;
TEB;858;TESTOSTERONA BIODISPONIBLE;TESTOSTERONA BIODISPONIBLE;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/dl;Hombre: 120 a 480 ng/dl  Mujer: 5 a 19;;;;
;TOB;;TESTOSTERONA BIODISPONIBLE;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/dl;Hombre: 120 a 480 ng/dl  Mujer: 5 a 19;;;;
TEL;859;TESTOSTERONA LIBRE O URINARIA;TESTOSTERONA libre en suero;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml;Mujer adulta : 2.0 a 8.5 pg/ml  Hombre adulto : 50.0 a 220.0;;;;
;TOL;;TESTOSTERONA libre en suero;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml;Mujer adulta : 2.0 a 8.5 pg/ml  Hombre adulto : 50.0 a 220.0;;;;
TES;TES;TESTOSTERONA PLASMATICA;TESTOSTERONA SERICA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;HOMBRE: 2,41 a 8,27 ng/ml;MUJER: 0,14 a 0,76 ng/ml;;;
;863;;TESTOSTERONA SERICA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;HOMBRE: 2,41 a 8,27 ng/ml;MUJER: 0,14 a 0,76 ng/ml;;;
TG;860;TIROGLOBULINA;TIROGLOBULINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;En adultos normales:           hasta  77,00;En pacientes tiroidectomizados:      hasta  1,00;;;
;TG;;TIROGLOBULINA;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;En adultos normales:           hasta  77,00;En pacientes tiroidectomizados:      hasta  1,00;;;
TXI;871;TOXOPLASMOSIS I.F. GAMMA ESPEC.;ANTICUERPOS ANTI TOXOPLASMA (IgG);SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta;;Valor de Referencia: Negativo;;;;
;TXG-IFI;;ANTICUERPOS ANTI TOXOPLASMA (IgG);SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;Valor de Referencia: Negativo;;;;
TXM;570;TOXOPLASMOSIS IgM-IFI REMINGTON T.DE;ANTICUERPOS ANTI TOXOPLASMA (IgM);SUERO;0;Si;Si;Si;Quimiluminiscencia;S/CO;No reactivo: menor de 0.90 S/CO   Indeterminado: 0.90 a 0.99 S/CO   Reactivo: igual o mayor a 1.0;;;;
;TXM;;ANTICUERPOS ANTI TOXOPLASMA (IgM);SUERO;0;No;Si;Si;Quimiluminiscencia;S/CO;No reactivo: menor de 0.90 S/CO   Indeterminado: 0.90 a 0.99 S/CO   Reactivo: igual o mayor a 1.0;;;;
TRA;875;TRANSFERRINA;TRANSFERRINA;SUERO;0;Si;Si;Si;Acido Beta Fenantrolin disulfonico;microg. %;200 a 400;;;;
;TRA;;TRANSFERRINA;SUERO;0;No;Si;Si;Acido Beta Fenantrolin disulfonico;microg. %;200 a 400;;;;
CHA;243;TRIPANOSOMA CRUZI ANTICUERPOS ANTI CHAGAS;Anticuerpos para TRIPANOSOMA CRUZI;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Interpretación:  No Reactivo: menor a 1.00  Reactivo: mayor a 1.00;;;;
;CHE;;Anticuerpos para TRIPANOSOMA CRUZI;SUERO;0;No;Si;Si;Quimioluminiscencia;;Interpretación:  No Reactivo: menor a 1.00  Reactivo: mayor a 1.00;;;;
TROPOI;714;TROPONINA I (TNL);TROPONINA I;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml;Hasta 45.0;;;;
;714;;TROPONINA I;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml;Hasta 45.0;;;;
TSH;TSH;TSH - TIROTROFINA PLASMATICA;TSH - TIROTROFINA;SUERO;0;No;Si;Si;Quimioluminiscencia;uUI/ml;Adultos: 0,40 a 4,00;En recien nacidos :   hasta 20;En niños de 6 a 10 años: 0,60 a 5,00;Niños de 1 a 11 meses: 0.80 a 6.20;Niños de 11 a 18 años: 0.50 a 4.40
;865;;TSH - TIROTROFINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;uUI/ml;Adultos: 0,40 a 4,00;En recien nacidos :   hasta 20;En niños de 6 a 10 años: 0,60 a 5,00;Niños de 1 a 11 meses: 0.80 a 6.20;Niños de 11 a 18 años: 0.50 a 4.40
VDR;VDRC;V.D.R.L. CUALITATIVA;REACCION DE V.D.R.L.;SUERO;0;No;Si;Si;Aglutinación en placa;;No reactiva;;;;
;934;;REACCION DE V.D.R.L.;SUERO;0;No;Si;Si;Aglutinación en placa;;No reactiva;;;;
VAL;VAL;VALPROICO ACIDO;ACIDO VALPROICO (VALPROATO);SUERO;0;No;Si;Si;Quimioluminiscencia;ug/ml;De 50,0 a 100,0;;;;
;943;;ACIDO VALPROICO (VALPROATO);SUERO;0;Si;Si;Si;Quimioluminiscencia;ug/ml;De 50,0 a 100,0;;;;
VZG;89;VARICELA ZOSTER ANTIC IgG;ANTIC. ANTI VARICELA ZOSTER (IgG);SUERO;0;Si;Si;Si;ELISA;;Negativo: Menor de 9  Indeterminado: 9 a 11  Positivo: Mayor de 11;;;;
;VZG;;ANTIC. ANTI VARICELA ZOSTER (IgG);SUERO;0;No;Si;Si;ELISA;;Negativo: Menor de 9  Indeterminado: 9 a 11  Positivo: Mayor de 11;;;;
VZM;97;VARICELA ZOSTER ANTIC IgM;Anticuerpos para VARICELA ZOSTER;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Negativo: menor o igual a 0.90  Indeterminado: 0.91 a 1.09  Positivo: mayor o igual a 1.10;;;;
;VZM;;Anticuerpos para VARICELA ZOSTER;SUERO;0;No;Si;Si;Quimioluminiscencia;;Negativo: menor o igual a 0.90  Indeterminado: 0.91 a 1.09  Positivo: mayor o igual a 1.10;;;;
B12;938;VITAMINA B12;VITAMINA B12;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml.;210 a 910;;;;
;VB12;;VITAMINA B12;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml.;210 a 910;;;;
V25;10;VITAMINA D3, 25 HIDROXI;25 Hidroxi VITAMINA D3;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;Valores nutricionalmente recomendados : 20 - 100;;;;
;VITD;;25 Hidroxi VITAMINA D3;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;Valores nutricionalmente recomendados : 20 - 100;;;;
ZIN;981;ZINC SERICO;ZINC en sangre;SUERO;0;Si;Si;Si;Colorimétrico;ug/dL;70 A 120 ug/dl;;;;
;981;;ZINC en sangre;SUERO;0;No;Si;Si;Colorimétrico;ug/dL;70 A 120 ug/dl;;;;
